2026-02-24 17:31:54 UTC-6,
1000 uM IC standard G5,
-3689fb28:19c913099aa:-7f49,
,
Anion General,
7796,
min,µS/cm
0,1.219986007
0.001666667,1.219999977
0.003333333,1.220018603
0.005,1.220041887
0.006666667,1.220069826
0.008333333,1.220097766
0.01,1.220130362
0.011666667,1.220158302
0.013333333,1.220181585
0.015,1.220200211
0.016666667,1.220218838
0.018333333,1.220228151
0.020016667,1.220237464
0.021683333,1.220246778
0.02335,1.220251434
0.025016667,1.220260747
0.026683333,1.220270061
0.02835,1.220279374
0.030016667,1.220293344
0.031683333,1.22031197
0.03335,1.220330597
0.035016667,1.22035388
0.036683333,1.220372506
0.03835,1.220395789
0.040016667,1.220414416
0.041683333,1.220433042
0.04335,1.220447012
0.045016667,1.220465638
0.046683333,1.220474952
0.04835,1.220484265
0.050033333,1.220498235
0.0517,1.220507548
0.053366667,1.220516861
0.055033333,1.220526174
0.0567,1.220535488
0.058366667,1.220549457
0.060033333,1.220563427
0.0617,1.220577397
0.063366667,1.220591367
0.065033333,1.220605337
0.0667,1.220619307
0.068366667,1.220633276
0.070033333,1.220651903
0.0717,1.220665873
0.073366667,1.220679843
0.075033333,1.220693812
0.0767,1.220707782
0.078366667,1.220717095
0.08005,1.220726409
0.081716667,1.220735722
0.083383333,1.220740378
0.08505,1.220745035
0.086716667,1.220754348
0.088383333,1.220759005
0.09005,1.220763662
0.091716667,1.220772975
0.093383333,1.220782288
0.09505,1.220791601
0.096716667,1.220805571
0.098383333,1.220819541
0.10005,1.220838167
0.101716667,1.220856794
0.103383333,1.22087542
0.10505,1.22088939
0.106716667,1.220898703
0.108383333,1.220908017
0.110066667,1.22091733
0.111733333,1.220921986
0.1134,1.220926643
0.115066667,1.2209313
0.116733333,1.220940613
0.1184,1.220949926
0.120066667,1.220959239
0.121733333,1.220968553
0.1234,1.220977866
0.125066667,1.220982522
0.126733333,1.220991836
0.1284,1.221001149
0.130066667,1.221010462
0.131733333,1.221015119
0.1334,1.221024432
0.135066667,1.221038402
0.136733333,1.221047715
0.1384,1.221057028
0.140083333,1.221066341
0.14175,1.221075655
0.143416667,1.221080311
0.145083333,1.221084968
0.14675,1.221084968
0.148416667,1.221089624
0.150083333,1.221089624
0.15175,1.221098938
0.153416667,1.221112908
0.155083333,1.221131534
0.15675,1.22115016
0.158416667,1.2211781
0.160083333,1.221201383
0.16175,1.221224666
0.163416667,1.221243293
0.165083333,1.221252606
0.16675,1.221261919
0.168416667,1.221261919
0.170083333,1.221261919
0.17175,1.221261919
0.173433333,1.221266576
0.1751,1.221275889
0.176766667,1.221285202
0.178433333,1.221303829
0.1801,1.221317798
0.181766667,1.221336425
0.183433333,1.221350395
0.1851,1.221359708
0.186766667,1.221369021
0.188433333,1.221373678
0.1901,1.221373678
0.191766667,1.221373678
0.193433333,1.221378334
0.1951,1.221382991
0.196766667,1.221387648
0.198433333,1.221396961
0.2001,1.221410931
0.201766667,1.221424901
0.20345,1.22143887
0.205116667,1.22145284
0.206783333,1.22146681
0.20845,1.221476123
0.210116667,1.221485437
0.211783333,1.221490093
0.21345,1.221490093
0.215116667,1.22149475
0.216783333,1.221499406
0.21845,1.221504063
0.220116667,1.221513376
0.221783333,1.221522689
0.22345,1.221532003
0.225116667,1.221541316
0.226783333,1.221545972
0.22845,1.221555286
0.230116667,1.221564599
0.231783333,1.221569256
0.233466667,1.221578569
0.235133333,1.221583225
0.2368,1.221592539
0.238466667,1.221597195
0.240133333,1.221606508
0.2418,1.221611165
0.243466667,1.221620478
0.245133333,1.221625135
0.2468,1.221634448
0.248466667,1.221639105
0.250133333,1.221648418
0.2518,1.221653075
0.253466667,1.221662388
0.255133333,1.221671701
0.2568,1.221676358
0.258466667,1.221685671
0.260133333,1.221690327
0.261816667,1.221694984
0.263483333,1.221699641
0.26515,1.221704297
0.266816667,1.221708954
0.268483333,1.221718267
0.27015,1.22172758
0.271816667,1.221736894
0.273483333,1.221746207
0.27515,1.22175552
0.276816667,1.221760177
0.278483333,1.221764833
0.28015,1.22176949
0.281816667,1.22176949
0.283483333,1.221764833
0.28515,1.221764833
0.286816667,1.221764833
0.288483333,1.221764833
0.29015,1.221774147
0.291816667,1.22178346
0.293483333,1.22179743
0.295166667,1.221811399
0.296833333,1.221825369
0.2985,1.221839339
0.300166667,1.221848652
0.301833333,1.221857966
0.3035,1.221862622
0.305166667,1.221867279
0.306833333,1.221867279
0.3085,1.221867279
0.310166667,1.221867279
0.311833333,1.221871935
0.3135,1.221876592
0.315166667,1.221881249
0.316833333,1.221890562
0.3185,1.221895218
0.320166667,1.221904532
0.321833333,1.221913845
0.3235,1.221918502
0.325183333,1.221923158
0.32685,1.221927815
0.328516667,1.221937128
0.330183333,1.221941785
0.33185,1.221946441
0.333516667,1.221955754
0.335183333,1.221965068
0.33685,1.221974381
0.338516667,1.221979037
0.340183333,1.221988351
0.34185,1.221993007
0.343516667,1.221997664
0.345183333,1.221997664
0.34685,1.221993007
0.348516667,1.221993007
0.350183333,1.221988351
0.35185,1.221988351
0.353516667,1.221988351
0.3552,1.221988351
0.356866667,1.221993007
0.358533333,1.221997664
0.3602,1.222011634
0.361866667,1.222020947
0.363533333,1.222034917
0.3652,1.22204423
0.366866667,1.2220582
0.368533333,1.222067513
0.3702,1.222076826
0.371866667,1.222081483
0.373533333,1.222081483
0.3752,1.222081483
0.376866667,1.222081483
0.378533333,1.222081483
0.3802,1.222081483
0.381866667,1.222081483
0.383533333,1.22208614
0.385216667,1.22208614
0.386883333,1.22208614
0.38855,1.222090796
0.390216667,1.222090796
0.391883333,1.222095453
0.39355,1.222100109
0.395216667,1.222109423
0.396883333,1.222114079
0.39855,1.222123392
0.400216667,1.222132706
0.401883333,1.222137362
0.40355,1.222142019
0.405216667,1.222146676
0.406883333,1.222151332
0.40855,1.222155989
0.410216667,1.222155989
0.411883333,1.222155989
0.41355,1.222155989
0.415216667,1.222155989
0.4169,1.222151332
0.418566667,1.222151332
0.420233333,1.222151332
0.4219,1.222151332
0.423566667,1.222155989
0.425233333,1.222155989
0.4269,1.222160645
0.428566667,1.222165302
0.430233333,1.222165302
0.4319,1.222169959
0.433566667,1.222169959
0.435233333,1.222169959
0.4369,1.222169959
0.438566667,1.222169959
0.440233333,1.222174615
0.4419,1.222174615
0.443566667,1.222174615
0.445233333,1.222174615
0.446916667,1.222179272
0.448583333,1.222179272
0.45025,1.222183928
0.451916667,1.222188585
0.453583333,1.222197898
0.45525,1.222202555
0.456916667,1.222211868
0.458583333,1.222216525
0.46025,1.222216525
0.461916667,1.222216525
0.463583333,1.222207212
0.46525,1.222202555
0.466916667,1.222197898
0.468583333,1.222197898
0.47025,1.222197898
0.471916667,1.222207212
0.473583333,1.222216525
0.47525,1.222225838
0.476933333,1.222239808
0.4786,1.222249121
0.480266667,1.222258434
0.481933333,1.222263091
0.4836,1.222263091
0.485266667,1.222263091
0.486933333,1.222258434
0.4886,1.222253778
0.490266667,1.222249121
0.491933333,1.222244464
0.4936,1.222239808
0.495266667,1.222239808
0.496933333,1.222239808
0.4986,1.222244464
0.500266667,1.222253778
0.501933333,1.222258434
0.5036,1.222267747
0.505266667,1.222272404
0.506933333,1.222277061
0.508616667,1.222281717
0.510283333,1.222286374
0.51195,1.222286374
0.513616667,1.222286374
0.515283333,1.222286374
0.51695,1.222286374
0.518616667,1.222281717
0.520283333,1.222281717
0.52195,1.222277061
0.523616667,1.222277061
0.525283333,1.222272404
0.52695,1.222267747
0.528616667,1.222263091
0.530283333,1.222263091
0.53195,1.222263091
0.533616667,1.222267747
0.535283333,1.222272404
0.536966667,1.222286374
0.538633333,1.222295687
0.5403,1.222309657
0.541966667,1.222323627
0.543633333,1.22233294
0.5453,1.222337597
0.546966667,1.222337597
0.548633333,1.222337597
0.5503,1.222328283
0.551966667,1.22231897
0.553633333,1.222305
0.5553,1.222295687
0.556966667,1.222291031
0.558633333,1.222286374
0.5603,1.222286374
0.561983333,1.222291031
0.56365,1.222300344
0.565316667,1.222309657
0.566983333,1.22231897
0.56865,1.222328283
0.570316667,1.222337597
0.571983333,1.222342253
0.57365,1.22234691
0.575316667,1.222351567
0.577,1.222356223
0.578666667,1.222356223
0.580333333,1.222356223
0.582,1.222351567
0.583666667,1.22234691
0.585333333,1.222342253
0.587,1.222337597
0.588666667,1.222337597
0.590333333,1.22233294
0.591983333,1.22233294
0.593666667,1.222337597
0.595333333,1.222337597
0.597,1.222337597
0.598666667,1.222337597
0.600333333,1.222337597
0.602,1.22233294
0.603666667,1.222328283
0.605333333,1.222328283
0.607,1.222328283
0.608666667,1.222328283
0.610333333,1.222337597
0.612,1.22234691
0.613666667,1.222356223
0.615333333,1.222370193
0.617,1.222379506
0.618666667,1.222388819
0.620333333,1.222393476
0.622,1.222393476
0.623666667,1.222393476
0.625333333,1.222388819
0.627,1.222384163
0.628683333,1.222384163
0.63035,1.222384163
0.632016667,1.222384163
0.633683333,1.222388819
0.63535,1.222393476
0.637016667,1.222402789
0.638683333,1.222407446
0.64035,1.222407446
0.642016667,1.222407446
0.643683333,1.222402789
0.64535,1.222398133
0.647016667,1.222393476
0.648683333,1.222388819
0.65035,1.222388819
0.652016667,1.222393476
0.653683333,1.222398133
0.65535,1.222407446
0.657033333,1.222412102
0.6587,1.222421416
0.660366667,1.222426072
0.662033333,1.222430729
0.6637,1.222430729
0.665366667,1.222435386
0.667033333,1.222440042
0.6687,1.222444699
0.670366667,1.222449355
0.672033333,1.222454012
0.6737,1.222463325
0.675366667,1.222467982
0.677033333,1.222472638
0.6787,1.222477295
0.680366667,1.222477295
0.682033333,1.222477295
0.6837,1.222472638
0.685383333,1.222472638
0.687033333,1.222467982
0.6887,1.222467982
0.690383333,1.222463325
0.69205,1.222463325
0.693716667,1.222463325
0.695383333,1.222458669
0.69705,1.222458669
