2026-02-24 18:02:39 UTC-6,
2023 NSC 10x dilution G5,
-3689fb28:19c913099aa:-7f31,
,
Anion General,
7796,
min,µS/cm
0,1.209815965
0.001666667,1.209829935
0.003333333,1.209839248
0.005,1.209853218
0.006666667,1.209867187
0.008333333,1.209881157
0.01,1.209895127
0.011666667,1.209913754
0.013333333,1.20993238
0.015,1.209951006
0.016666667,1.209969633
0.018333333,1.209988259
0.02,1.210006886
0.021666667,1.210025512
0.023333333,1.210044139
0.025,1.210067422
0.026666667,1.210086048
0.028333333,1.210104675
0.030016667,1.210127958
0.031683333,1.210146584
0.03335,1.210160554
0.035016667,1.21017918
0.036683333,1.21019315
0.03835,1.21020712
0.040016667,1.210216433
0.041683333,1.210230403
0.04335,1.210244373
0.045016667,1.210253686
0.046683333,1.210267656
0.04835,1.210276969
0.050016667,1.210290939
0.051683333,1.210304909
0.05335,1.210314222
0.055016667,1.210332849
0.056683333,1.210346819
0.05835,1.210365445
0.060033333,1.210384071
0.0617,1.210407355
0.063366667,1.210430638
0.065033333,1.210449264
0.0667,1.21046789
0.068366667,1.21048186
0.070033333,1.210491174
0.0717,1.210500487
0.073366667,1.2105098
0.075033333,1.21052377
0.0767,1.210533083
0.078366667,1.210547053
0.080033333,1.210565679
0.0817,1.210584306
0.083366667,1.210602932
0.085033333,1.210621559
0.0867,1.210640185
0.088366667,1.210654155
0.090033333,1.210663468
0.091716667,1.210672781
0.093383333,1.210682095
0.09505,1.210686751
0.096716667,1.210691408
0.098383333,1.210691408
0.10005,1.210700721
0.101716667,1.210705378
0.103383333,1.210714691
0.10505,1.210728661
0.106716667,1.210737974
0.108383333,1.210747287
0.11005,1.210751944
0.111716667,1.210761257
0.113383333,1.210765914
0.11505,1.21077057
0.116716667,1.210775227
0.118383333,1.210789197
0.120066667,1.210803167
0.121733333,1.210821793
0.1234,1.210845076
0.125066667,1.210873016
0.126733333,1.210896299
0.1284,1.210919582
0.130066667,1.210938208
0.131733333,1.210952178
0.1334,1.210966148
0.135066667,1.210980118
0.136733333,1.210984774
0.1384,1.210989431
0.140066667,1.210994088
0.141733333,1.210998744
0.1434,1.211003401
0.145066667,1.211008058
0.146733333,1.211012714
0.1484,1.211022027
0.150083333,1.211031341
0.15175,1.21104531
0.153416667,1.211054624
0.155083333,1.211063937
0.15675,1.211077907
0.158416667,1.211091877
0.160083333,1.21110119
0.16175,1.21111516
0.163416667,1.211124473
0.165083333,1.211133786
0.16675,1.211138443
0.168416667,1.211143099
0.170083333,1.211147756
0.17175,1.211152413
0.173416667,1.211161726
0.175083333,1.211171039
0.17675,1.211185009
0.178416667,1.211198979
0.180083333,1.211217605
0.181766667,1.211236232
0.183433333,1.211250201
0.1851,1.211259515
0.186766667,1.211273484
0.188433333,1.211278141
