2026-02-24 14:43:01 UTC-6,
2026 10x NSC G5,
-3689fb28:19c913099aa:-7fcd,
,
Anion General,
7796,
min,µS/cm
0,1.240498387
0.001666667,1.240512357
0.003333333,1.240530983
0.005016667,1.24054961
0.006683333,1.240572893
0.00835,1.240596176
0.010016667,1.240619459
0.011683333,1.240642742
0.01335,1.240666025
0.015016667,1.240684651
0.016683333,1.240703278
0.01835,1.240721904
0.020016667,1.240735874
0.021683333,1.240749844
0.02335,1.24076847
0.025016667,1.24078244
0.026683333,1.240801067
0.02835,1.240819693
0.030016667,1.24083832
0.031683333,1.240856946
0.03335,1.240880229
0.035016667,1.240898856
0.0367,1.240917482
0.038366667,1.240931452
0.040033333,1.240936109
0.0417,1.240940765
0.043366667,1.240945422
0.045033333,1.240945422
0.0467,1.240945422
0.048366667,1.240950078
0.050033333,1.240959392
0.0517,1.240973361
0.053366667,1.240996644
0.055033333,1.241019928
0.0567,1.241047867
0.058366667,1.241075807
0.060033333,1.241103747
0.0617,1.241131686
0.063366667,1.241154969
0.06505,1.241178252
0.066716667,1.241192222
0.068383333,1.241206192
0.07005,1.241215505
0.071716667,1.241224819
0.073383333,1.241234132
0.07505,1.241243445
0.076716667,1.241248102
0.078383333,1.241252758
0.08005,1.241262071
0.081716667,1.241266728
0.083383333,1.241276041
0.08505,1.241290011
0.086716667,1.241303981
0.088383333,1.241317951
0.09005,1.241331921
0.091716667,1.24134589
0.093383333,1.24135986
0.095066667,1.241369174
0.096733333,1.241378487
0.0984,1.241383143
0.100066667,1.241392457
0.101733333,1.241397113
0.1034,1.241406426
0.105066667,1.241420396
0.106733333,1.241429709
0.1084,1.241443679
0.110066667,1.241457649
0.111733333,1.241471619
0.1134,1.241485589
0.115066667,1.241494902
0.116733333,1.241508872
0.1184,1.241522842
0.120066667,1.241532155
0.121733333,1.241546125
0.1234,1.241555438
0.125066667,1.241569408
0.12675,1.241578721
0.128416667,1.241588034
0.130083333,1.241597348
0.13175,1.241606661
0.133416667,1.241615974
0.135083333,1.241625287
0.13675,1.241639257
0.138416667,1.24164857
0.140083333,1.24166254
0.14175,1.241681167
0.143416667,1.241695136
0.145083333,1.241709106
0.14675,1.241723076
0.148416667,1.241732389
0.150083333,1.241737046
0.151766667,1.241741703
0.153433333,1.241746359
0.1551,1.241751016
0.156766667,1.241755672
0.158433333,1.241764986
0.1601,1.241774299
0.161766667,1.241788269
0.163433333,1.241797582
0.1651,1.241811552
0.166766667,1.241825522
0.168433333,1.241834835
0.1701,1.241844148
0.171766667,1.241848805
0.173433333,1.241858118
0.1751,1.241862774
0.176766667,1.241872088
0.178433333,1.241881401
0.1801,1.241895371
0.181766667,1.241904684
0.183433333,1.241918654
0.1851,1.241927967
0.186783333,1.24193728
