2026-02-24 15:13:39 UTC-6,
20 uM IC standard G5,
-3689fb28:19c913099aa:-7fb5,
,
Anion General,
7796,
min,µS/cm
0,1.209042967
0.001683333,1.209070907
0.00335,1.20909419
0.005016667,1.209117473
0.006683333,1.209145412
0.00835,1.209168695
0.010016667,1.209191979
0.011683333,1.209215262
0.01335,1.209233888
0.015016667,1.209257171
0.016683333,1.209275798
0.01835,1.209294424
0.020016667,1.20931305
0.021683333,1.209331677
0.02335,1.209350303
0.025016667,1.20936893
0.026683333,1.2093829
0.02835,1.20939687
0.030016667,1.209415496
0.0317,1.209429466
0.03335,1.209443436
0.035033333,1.209462062
0.0367,1.209480689
0.038366667,1.209499315
0.040033333,1.209517941
0.0417,1.209536568
0.043366667,1.209559851
0.045033333,1.209583134
0.0467,1.209606417
0.048366667,1.2096297
0.050033333,1.209652983
0.0517,1.209676266
0.053366667,1.209694893
0.055033333,1.209718176
0.0567,1.209736802
0.058366667,1.209755429
0.060033333,1.209769399
0.0617,1.209788025
0.063366667,1.209806651
0.065033333,1.209825278
0.066716667,1.209839248
0.068383333,1.209853218
0.07005,1.209867187
0.071716667,1.209881157
0.073383333,1.209895127
0.07505,1.209909097
0.076716667,1.20991841
0.078383333,1.20993238
0.08005,1.20994635
0.081716667,1.20996032
0.083383333,1.209978946
0.08505,1.209997573
0.086716667,1.210016199
0.088383333,1.210039482
0.09005,1.210058109
0.091716667,1.210072078
0.093383333,1.210086048
0.09505,1.210095361
0.096733333,1.210100018
0.0984,1.210109331
0.100066667,1.210113988
0.101733333,1.210123301
0.1034,1.210132614
0.105066667,1.210141928
0.106733333,1.210155897
0.1084,1.210169867
0.110066667,1.210183837
0.111733333,1.210197807
0.1134,1.21020712
0.115066667,1.21022109
0.116733333,1.210230403
0.1184,1.210239716
0.120066667,1.210253686
0.121733333,1.210267656
0.1234,1.210281626
0.125066667,1.210300252
0.12675,1.210323535
0.128416667,1.210342162
0.130083333,1.210365445
0.13175,1.210384071
0.133416667,1.210402698
0.135083333,1.210425981
0.13675,1.210439951
0.138416667,1.210458577
0.140083333,1.210477204
0.14175,1.210491174
0.143416667,1.2105098
0.145083333,1.21052377
0.14675,1.210533083
0.148416667,1.210547053
0.150083333,1.210556366
0.15175,1.210561023
0.153416667,1.210570336
0.155083333,1.210574993
0.15675,1.210579649
0.158433333,1.210588962
0.1601,1.210593619
0.161766667,1.210602932
0.163433333,1.210616902
0.1651,1.210630872
0.166766667,1.210649498
0.168433333,1.210668125
0.1701,1.210686751
0.171766667,1.210705378
0.173433333,1.210728661
0.1751,1.210747287
0.176766667,1.210765914
0.178433333,1.210789197
0.1801,1.210803167
0.181766667,1.210821793
0.183433333,1.210840419
0.1851,1.210854389
0.186783333,1.210863703
0.18845,1.210873016
0.190116667,1.210882329
0.191783333,1.210891642
0.19345,1.210900955
0.195116667,1.210910269
0.196783333,1.210914925
0.19845,1.210924239
0.200116667,1.210933552
0.201783333,1.210942865
0.20345,1.210947522
0.205116667,1.210952178
0.206783333,1.210956835
0.20845,1.210961491
0.210116667,1.210966148
0.211783333,1.210970805
0.21345,1.210980118
0.215116667,1.210989431
0.2168,1.211003401
0.218466667,1.211017371
0.220133333,1.211035997
0.2218,1.211054624
0.223466667,1.21107325
0.225133333,1.211091877
0.2268,1.211110503
0.228466667,1.211124473
0.230133333,1.211138443
0.2318,1.211147756
0.233466667,1.211157069
0.235133333,1.211166382
0.2368,1.211175696
0.238466667,1.211180352
0.240133333,1.211189665
0.2418,1.211194322
0.243466667,1.211203635
0.245133333,1.211208292
0.2468,1.211217605
0.248483333,1.211222262
0.25015,1.211231575
0.251816667,1.211236232
0.253483333,1.211245545
0.25515,1.211254858
0.256816667,1.211268828
0.258483333,1.211278141
0.26015,1.211292111
0.261816667,1.211301424
0.263483333,1.211310737
0.26515,1.211315394
0.266816667,1.211324707
0.268483333,1.21133402
0.27015,1.211343334
0.271816667,1.211357304
0.273483333,1.211366617
0.27515,1.211380587
0.276816667,1.211394556
0.2785,1.211408526
0.280166667,1.211417839
0.281833333,1.211431809
0.2835,1.211441123
0.285166667,1.211450436
0.286833333,1.211455092
0.2885,1.211459749
0.290166667,1.211469062
0.291833333,1.211473719
0.2935,1.211483032
0.295166667,1.211487689
0.296833333,1.211497002
0.2985,1.211501659
0.300166667,1.211510972
0.301833333,1.211520285
0.3035,1.211529598
0.305166667,1.211538911
0.306833333,1.211548225
0.3085,1.211557538
0.310183333,1.211566851
0.31185,1.211576164
0.313516667,1.211580821
0.315183333,1.211590134
0.31685,1.211590134
0.318516667,1.211594791
0.320183333,1.211599447
0.32185,1.211599447
0.323516667,1.211604104
0.325183333,1.211613417
0.32685,1.211618074
0.328516667,1.211627387
0.330183333,1.2116367
0.33185,1.21165067
0.333516667,1.211659983
0.335183333,1.211673953
0.33685,1.211687923
0.338516667,1.211697236
0.3402,1.211706549
0.341866667,1.211711206
0.343533333,1.211715863
0.3452,1.211720519
0.346866667,1.211725176
0.348533333,1.211729833
0.3502,1.211734489
0.351866667,1.211739146
0.353533333,1.211743802
0.3552,1.211753116
0.356866667,1.211767085
0.358533333,1.211781055
0.3602,1.211795025
0.361866667,1.211808995
0.363533333,1.211818308
0.3652,1.211827621
0.366866667,1.211832278
0.368533333,1.211832278
0.370216667,1.211832278
0.371883333,1.211827621
0.37355,1.211822965
0.375216667,1.211822965
0.376883333,1.211822965
0.37855,1.211822965
0.380216667,1.211827621
0.381883333,1.211832278
0.38355,1.211841591
0.385216667,1.211846248
0.386883333,1.211855561
0.38855,1.211860218
0.390216667,1.211869531
0.391883333,1.211874188
0.39355,1.211878844
0.395216667,1.211888157
0.396883333,1.211892814
0.39855,1.211902127
0.400233333,1.211906784
0.4019,1.211916097
0.403566667,1.211920754
0.405233333,1.211930067
0.4069,1.211934724
0.408566667,1.21193938
0.410233333,1.211944037
0.4119,1.211948693
0.413566667,1.21195335
0.415233333,1.211958007
0.4169,1.211962663
0.418566667,1.211971976
0.420233333,1.211976633
0.4219,1.21198129
0.423566667,1.211985946
0.425233333,1.211990603
0.4269,1.211995259
0.428566667,1.211999916
0.43025,1.211999916
0.431916667,1.212004573
0.433583333,1.212009229
0.43525,1.212013886
0.436916667,1.212013886
0.438583333,1.212018543
0.44025,1.212023199
0.441916667,1.212027856
0.443583333,1.212027856
0.44525,1.212032512
0.446916667,1.212032512
0.448583333,1.212037169
0.45025,1.212041826
0.451916667,1.212051139
0.453583333,1.212055795
0.45525,1.212065109
0.456916667,1.212074422
0.458583333,1.212079079
0.460266667,1.212083735
0.461933333,1.212083735
0.4636,1.212083735
0.465266667,1.212083735
0.466933333,1.212079079
0.4686,1.212079079
0.470266667,1.212083735
0.471933333,1.212088392
0.4736,1.212093048
0.475266667,1.212102362
0.476933333,1.212111675
0.4786,1.212120988
0.480266667,1.212130301
0.481933333,1.212134958
0.4836,1.212139614
0.485266667,1.212148928
0.486933333,1.212148928
0.4886,1.212153584
0.490266667,1.212153584
0.49195,1.212153584
0.493616667,1.212153584
0.495283333,1.212153584
0.49695,1.212158241
0.498616667,1.212158241
0.500283333,1.212162898
0.50195,1.212162898
0.503616667,1.212167554
0.505283333,1.212167554
0.50695,1.212172211
0.508616667,1.212172211
0.510283333,1.212176867
0.511966667,1.212181524
0.513633333,1.212186181
0.5153,1.212190837
0.516966667,1.212195494
0.518633333,1.212204807
0.5203,1.212209464
0.521966667,1.21221412
0.523633333,1.212223434
0.5253,1.21222809
0.526966667,1.212232747
0.528633333,1.212237403
0.5303,1.212237403
0.531966667,1.212237403
0.533633333,1.21224206
0.5353,1.21224206
0.536966667,1.21224206
0.538633333,1.212246717
0.5403,1.212251373
0.541966667,1.21225603
0.543633333,1.212260686
0.5453,1.212265343
0.546966667,1.21227
0.548633333,1.21227
0.5503,1.21227
0.551966667,1.212265343
0.55365,1.212265343
0.555316667,1.212265343
0.556983333,1.212265343
0.55865,1.212265343
0.560316667,1.21227
0.561983333,1.21227
0.56365,1.212279313
0.565316667,1.212283969
0.566983333,1.212288626
0.56865,1.212293283
0.570316667,1.212293283
0.571983333,1.212293283
0.57365,1.212293283
0.575316667,1.212288626
0.576983333,1.212283969
0.57865,1.212279313
0.580316667,1.212274656
0.581983333,1.21227
0.583666667,1.212265343
0.585333333,1.212265343
0.587,1.212265343
0.588666667,1.21227
0.590333333,1.212274656
0.592,1.212283969
0.593666667,1.212293283
0.595333333,1.212302596
0.597,1.212311909
0.598666667,1.212321222
0.600333333,1.212325879
0.602,1.212330536
0.603666667,1.212335192
0.605333333,1.212339849
0.607,1.212339849
0.608683333,1.212339849
0.61035,1.212339849
0.612016667,1.212339849
0.613683333,1.212339849
0.61535,1.212339849
0.617016667,1.212339849
0.618683333,1.212344505
0.62035,1.212349162
0.622016667,1.212353819
0.623683333,1.212363132
0.62535,1.212372445
0.627016667,1.212377102
0.628683333,1.212386415
0.63035,1.212391072
0.632016667,1.212391072
0.633683333,1.212391072
0.63535,1.212391072
0.637016667,1.212386415
0.638683333,1.212386415
0.64035,1.212381758
0.642033333,1.212377102
0.6437,1.212377102
0.645366667,1.212377102
0.647033333,1.212381758
0.6487,1.212386415
0.650366667,1.212395728
0.652033333,1.212400385
0.6537,1.212409698
0.655366667,1.212419011
0.657033333,1.212423668
0.6587,1.212423668
0.660366667,1.212428324
0.662033333,1.212428324
0.6637,1.212428324
0.665366667,1.212428324
0.667033333,1.212428324
0.6687,1.212428324
0.670366667,1.212432981
0.672033333,1.212432981
0.673716667,1.212432981
0.675383333,1.212437638
0.67705,1.212437638
0.678716667,1.212442294
0.680383333,1.212451608
0.68205,1.212456264
0.683716667,1.212465577
0.685383333,1.212474891
0.68705,1.212484204
0.688716667,1.21248886
0.690383333,1.21248886
0.69205,1.21248886
0.693716667,1.21248886
0.695383333,1.212484204
0.69705,1.212484204
0.698716667,1.212479547
0.700383333,1.212479547
0.70205,1.212474891
0.703716667,1.212474891
0.7054,1.212479547
0.707066667,1.212479547
0.708733333,1.212484204
0.7104,1.21248886
0.712066667,1.21248886
0.713733333,1.21248886
0.7154,1.21248886
0.717066667,1.21248886
0.718733333,1.212484204
0.7204,1.21248886
0.722066667,1.21248886
0.723733333,1.212498174
0.7254,1.212507487
0.727066667,1.2125168
0.728733333,1.21253077
0.7304,1.212540083
0.732083333,1.212549396
0.733733333,1.212549396
0.735416667,1.212549396
0.737083333,1.212540083
0.73875,1.21253077
0.740416667,1.2125168
0.742083333,1.21250283
0.74375,1.212493517
0.745416667,1.21248886
0.747083333,1.21248886
0.74875,1.212493517
0.750416667,1.21250283
0.752083333,1.212512144
0.75375,1.212526113
0.755416667,1.212535427
0.757083333,1.21254474
0.75875,1.212554053
0.760416667,1.212554053
0.762083333,1.21255871
0.76375,1.21255871
0.765433333,1.21255871
0.7671,1.21255871
0.768766667,1.21255871
0.770433333,1.212563366
0.7721,1.212568023
0.773766667,1.212572679
0.775433333,1.212581993
0.7771,1.212586649
0.778766667,1.212595963
0.780433333,1.212600619
0.7821,1.212609932
0.783766667,1.212609932
0.785433333,1.212614589
0.7871,1.212609932
0.788766667,1.212609932
0.790433333,1.212609932
0.7921,1.212605276
0.793766667,1.212609932
0.79545,1.212609932
0.797116667,1.212619246
0.798783333,1.212623902
0.80045,1.212633215
0.802116667,1.212642529
0.803783333,1.212651842
0.80545,1.212661155
0.807116667,1.212665812
0.808783333,1.212670468
0.81045,1.212675125
0.812116667,1.212684438
0.813783333,1.212689095
0.81545,1.212693751
0.817116667,1.212698408
0.818783333,1.212703065
0.82045,1.212703065
0.822116667,1.212707721
0.8238,1.212707721
0.825466667,1.212707721
0.827133333,1.212712378
0.8288,1.212717034
0.830466667,1.212721691
0.832133333,1.212731004
0.8338,1.212740318
0.835466667,1.212749631
0.837133333,1.212754287
0.8388,1.212763601
0.840466667,1.212768257
0.842133333,1.212768257
0.8438,1.212768257
0.845466667,1.212768257
0.847133333,1.212768257
0.8488,1.212768257
0.850466667,1.212772914
0.852133333,1.21277757
0.8538,1.212782227
0.855483333,1.212786884
0.85715,1.21279154
0.858816667,1.21279154
0.860483333,1.21279154
0.86215,1.212786884
0.863816667,1.212782227
0.865483333,1.212772914
0.86715,1.212763601
0.868816667,1.212754287
0.870483333,1.212744974
0.87215,1.212740318
0.873816667,1.212735661
0.875483333,1.212735661
0.87715,1.212740318
0.878816667,1.212749631
0.880483333,1.212758944
0.88215,1.212768257
0.883816667,1.21277757
0.885483333,1.212786884
0.887166667,1.21279154
0.888833333,1.21279154
0.8905,1.212786884
0.892166667,1.21277757
0.893833333,1.212768257
0.8955,1.212758944
0.897166667,1.212749631
0.898833333,1.212744974
0.9005,1.212744974
0.902166667,1.212744974
0.903833333,1.212754287
0.9055,1.212758944
0.907166667,1.212768257
0.908833333,1.21277757
0.9105,1.212782227
0.912166667,1.212782227
0.913833333,1.212782227
0.9155,1.21277757
0.917183333,1.212772914
0.91885,1.212763601
0.920516667,1.212758944
0.922183333,1.212754287
0.92385,1.212749631
0.925516667,1.212749631
0.927183333,1.212749631
0.92885,1.212754287
0.930516667,1.212754287
0.932183333,1.212754287
0.93385,1.212754287
0.935516667,1.212754287
0.937183333,1.212749631
0.93885,1.212749631
0.940516667,1.212744974
0.942183333,1.212735661
0.94385,1.212731004
0.945516667,1.212721691
0.947183333,1.212717034
0.948866667,1.212712378
0.950533333,1.212707721
0.9522,1.212707721
0.953866667,1.212712378
0.955533333,1.212721691
0.9572,1.212726348
0.958866667,1.212735661
0.960533333,1.212744974
0.9622,1.212744974
0.963866667,1.212744974
0.965533333,1.212740318
0.9672,1.212735661
0.968866667,1.212726348
0.970533333,1.212717034
0.9722,1.212707721
0.973866667,1.212698408
0.975533333,1.212693751
0.9772,1.212689095
0.978883333,1.212689095
0.98055,1.212693751
0.982216667,1.212698408
0.983883333,1.212707721
0.98555,1.212712378
0.987216667,1.212717034
0.988883333,1.212717034
0.99055,1.212717034
0.992216667,1.212717034
0.993883333,1.212707721
0.99555,1.212703065
0.997216667,1.212698408
0.998883333,1.212693751
1.00055,1.212689095
1.002216667,1.212684438
1.003883333,1.212684438
1.00555,1.212684438
1.007216667,1.212679782
1.0089,1.212679782
1.010566667,1.212675125
1.012233333,1.212675125
1.0139,1.212670468
1.015566667,1.212670468
1.017233333,1.212665812
1.0189,1.212665812
1.020566667,1.212665812
1.022233333,1.212665812
1.0239,1.212665812
1.025566667,1.212665812
1.027233333,1.212665812
1.0289,1.212670468
1.030566667,1.212670468
1.032233333,1.212670468
1.0339,1.212670468
1.035566667,1.212665812
1.037233333,1.212665812
1.038916667,1.212661155
1.040583333,1.212656499
1.04225,1.212656499
1.043916667,1.212647185
1.045583333,1.212642529
1.04725,1.212637872
1.048916667,1.212633215
1.050583333,1.212628559
1.05225,1.212623902
1.053916667,1.212623902
1.055583333,1.212619246
1.05725,1.212623902
1.058916667,1.212623902
1.060583333,1.212628559
1.06225,1.212633215
1.063916667,1.212642529
1.065583333,1.212647185
1.06725,1.212651842
1.068933333,1.212656499
1.0706,1.212656499
1.072266667,1.212656499
1.073933333,1.212651842
1.0756,1.212647185
1.077266667,1.212637872
1.078933333,1.212633215
1.0806,1.212623902
1.082266667,1.212619246
1.083933333,1.212609932
1.0856,1.212605276
1.087266667,1.212605276
1.088933333,1.212605276
1.0906,1.212605276
1.092266667,1.212609932
1.093933333,1.212614589
1.0956,1.212623902
1.097266667,1.212628559
1.09895,1.212633215
1.100616667,1.212637872
1.102283333,1.212637872
1.10395,1.212637872
1.105616667,1.212633215
1.107283333,1.212628559
1.10895,1.212623902
1.110616667,1.212619246
1.112283333,1.212614589
1.11395,1.212614589
1.115616667,1.212614589
1.117283333,1.212619246
1.11895,1.212628559
1.120616667,1.212633215
1.122283333,1.212642529
1.12395,1.212651842
1.125633333,1.212661155
1.1273,1.212665812
1.128966667,1.212665812
1.130633333,1.212665812
1.1323,1.212661155
1.133966667,1.212651842
1.135633333,1.212637872
1.1373,1.212628559
1.138966667,1.212614589
1.140633333,1.212605276
1.1423,1.212600619
1.143966667,1.212595963
1.145633333,1.212591306
1.1473,1.212591306
1.148966667,1.212595963
1.150633333,1.212600619
1.1523,1.212605276
1.153966667,1.212609932
1.155633333,1.212614589
1.1573,1.212614589
1.158966667,1.212614589
1.16065,1.212609932
1.162316667,1.212605276
1.163983333,1.212600619
1.16565,1.212595963
1.167316667,1.212595963
1.168983333,1.212595963
1.17065,1.212591306
1.172316667,1.212591306
1.173983333,1.212586649
1.17565,1.212581993
1.177316667,1.212581993
1.178983333,1.212577336
1.18065,1.212577336
1.182316667,1.212581993
1.183983333,1.212586649
1.18565,1.212591306
1.187316667,1.212595963
1.188983333,1.212595963
1.19065,1.212600619
1.192333333,1.212600619
1.194,1.212600619
1.195666667,1.212600619
1.197333333,1.212600619
1.199,1.212595963
1.200666667,1.212600619
1.202333333,1.212600619
1.204,1.212605276
1.205666667,1.212609932
1.207333333,1.212619246
1.209,1.212619246
1.210666667,1.212623902
1.212333333,1.212623902
1.214,1.212619246
1.215666667,1.212619246
1.21735,1.212614589
1.219016667,1.212614589
1.220683333,1.212614589
1.22235,1.212609932
1.224016667,1.212609932
1.225683333,1.212609932
1.22735,1.212605276
1.229016667,1.212600619
1.230683333,1.212595963
1.23235,1.212591306
1.234016667,1.212591306
1.235683333,1.212591306
1.23735,1.212591306
1.239016667,1.212591306
1.240683333,1.212595963
1.24235,1.212595963
1.244016667,1.212595963
1.245683333,1.212600619
1.24735,1.212600619
1.249016667,1.212600619
1.2507,1.212595963
1.252366667,1.212595963
1.254033333,1.212591306
1.2557,1.212586649
1.257366667,1.212577336
1.259033333,1.212572679
1.2607,1.212568023
1.262366667,1.212563366
1.264033333,1.212563366
1.2657,1.212563366
1.267366667,1.212568023
1.269033333,1.212572679
1.2707,1.212581993
1.272366667,1.212581993
1.274033333,1.212581993
1.2757,1.212577336
1.277366667,1.212568023
1.279033333,1.212563366
1.2807,1.212554053
1.282383333,1.21254474
1.28405,1.212540083
1.285716667,1.212535427
1.287383333,1.212535427
1.28905,1.212535427
1.290716667,1.212535427
1.292383333,1.212540083
1.29405,1.212540083
1.295716667,1.212535427
1.297383333,1.21253077
1.29905,1.212526113
1.300716667,1.212521457
1.302383333,1.2125168
1.30405,1.2125168
1.305716667,1.212512144
1.307383333,1.212512144
1.30905,1.212512144
1.310716667,1.212507487
1.3124,1.212507487
1.314066667,1.212507487
1.315733333,1.212507487
1.3174,1.212512144
1.319066667,1.2125168
1.320733333,1.212521457
1.3224,1.21253077
1.324066667,1.212535427
1.325733333,1.212540083
1.3274,1.212540083
1.329066667,1.212540083
1.330733333,1.212535427
1.3324,1.21253077
1.334066667,1.212521457
1.335733333,1.2125168
1.3374,1.212507487
1.339066667,1.212498174
1.340733333,1.212493517
1.342416667,1.212484204
1.344083333,1.212474891
1.34575,1.212470234
1.347416667,1.212465577
1.349083333,1.212460921
1.35075,1.212460921
1.352416667,1.212460921
1.354083333,1.212460921
1.35575,1.212460921
1.357416667,1.212460921
1.359083333,1.212460921
1.36075,1.212460921
1.362416667,1.212460921
1.364083333,1.212456264
1.36575,1.212456264
1.367416667,1.212456264
1.369083333,1.212456264
1.37075,1.212456264
1.372416667,1.212456264
1.3741,1.212456264
1.375766667,1.212451608
1.377433333,1.212451608
1.3791,1.212446951
1.380766667,1.212442294
1.382433333,1.212432981
1.3841,1.212428324
1.385766667,1.212423668
1.387433333,1.212419011
1.3891,1.212419011
1.390766667,1.212419011
1.392433333,1.212423668
1.3941,1.212423668
1.395766667,1.212428324
1.397433333,1.212432981
1.3991,1.212432981
1.400766667,1.212432981
1.402433333,1.212432981
1.404116667,1.212432981
1.405783333,1.212432981
1.40745,1.212432981
1.409116667,1.212432981
1.410783333,1.212432981
1.41245,1.212428324
