2026-02-24 16:45:47 UTC-6,
400 uM IC standard G5,
-3689fb28:19c913099aa:-7f6d,
,
Anion General,
7796,
min,µS/cm
0,1.213205979
0.001666667,1.213229262
0.003333333,1.213247888
0.005,1.213266515
0.006666667,1.213280485
0.008333333,1.213299111
0.01,1.213313081
0.011666667,1.213327051
0.013333333,1.213341021
0.015,1.213359647
0.016666667,1.213373617
0.018333333,1.213387587
0.02,1.213401557
0.021666667,1.213415526
0.023333333,1.21342484
0.025016667,1.213438809
0.026666667,1.213452779
0.02835,1.213471406
0.030016667,1.213485376
0.031683333,1.213508659
0.03335,1.213527285
0.035016667,1.213550568
0.036683333,1.213569195
0.03835,1.213583164
0.040016667,1.213597134
0.041683333,1.213606448
0.04335,1.213615761
0.045016667,1.213625074
0.046683333,1.213634387
0.04835,1.213648357
0.050016667,1.213666984
0.051683333,1.213680953
0.05335,1.213704236
0.055033333,1.213722863
0.056683333,1.213741489
0.058366667,1.213760116
0.060033333,1.213774086
0.0617,1.213788055
0.063366667,1.213802025
0.065033333,1.213815995
0.0667,1.213829965
0.068366667,1.213848591
0.070033333,1.213862561
0.0717,1.213876531
0.073366667,1.213895158
0.075033333,1.213909127
0.0767,1.213927754
0.078366667,1.21394638
0.080033333,1.21396035
0.0817,1.21397432
0.083366667,1.21398829
0.085033333,1.21400226
0.0867,1.214011573
0.088383333,1.214020886
0.09005,1.214030199
0.091716667,1.214034856
0.093383333,1.214044169
0.09505,1.214053482
0.096716667,1.214062796
0.098383333,1.214067452
0.10005,1.214072109
0.101716667,1.214081422
0.103383333,1.214086079
0.10505,1.214090735
0.106716667,1.214100049
0.108383333,1.214109362
0.11005,1.214123332
0.111716667,1.214137301
0.113383333,1.214155928
0.11505,1.214179211
0.116716667,1.214202494
0.1184,1.21422112
0.120066667,1.214239747
0.121733333,1.214258373
0.1234,1.214272343
0.125066667,1.214281656
0.126733333,1.21429097
0.1284,1.214295626
0.130066667,1.214300283
0.131733333,1.214304939
0.1334,1.214314253
0.135066667,1.214318909
0.136733333,1.214328223
0.1384,1.214342192
0.140066667,1.214356162
0.141733333,1.214370132
0.1434,1.214388759
0.145066667,1.214407385
0.146733333,1.214426011
0.148416667,1.214439981
0.150083333,1.214453951
0.15175,1.214467921
0.153416667,1.214472578
0.155083333,1.214481891
0.15675,1.214481891
0.158416667,1.214486547
0.160083333,1.214491204
0.16175,1.214495861
0.163416667,1.214505174
0.165083333,1.214519144
0.16675,1.214533114
0.168416667,1.214556397
0.170083333,1.214575023
0.17175,1.214598306
0.173416667,1.214621589
0.1751,1.214635559
0.17675,1.214649529
0.178433333,1.214654185
0.1801,1.214654185
0.181766667,1.214654185
0.183433333,1.214649529
0.1851,1.214649529
0.186766667,1.214649529
0.188433333,1.214649529
0.1901,1.214658842
0.191766667,1.214663499
0.193433333,1.214677469
0.1951,1.214691438
0.196766667,1.214705408
0.198433333,1.214724035
0.2001,1.214742661
0.201766667,1.214761288
0.203433333,1.214775257
0.2051,1.214793884
0.206766667,1.214803197
0.20845,1.21481251
0.2101,1.214821824
0.211783333,1.21482648
0.21345,1.21482648
0.215116667,1.214831137
0.216783333,1.214835793
0.21845,1.21484045
0.220116667,1.214845107
0.221783333,1.21485442
0.22345,1.214859076
0.225116667,1.214863733
0.226783333,1.21486839
0.22845,1.21486839
0.230116667,1.214873046
0.231783333,1.214877703
0.23345,1.214882359
0.235116667,1.214891673
0.236783333,1.214905643
0.238466667,1.214919612
0.240116667,1.214933582
0.2418,1.214952209
0.243466667,1.214966179
0.245133333,1.214980148
0.2468,1.214989462
0.248466667,1.214994118
0.250133333,1.214994118
0.2518,1.214994118
0.253466667,1.214994118
0.255133333,1.214994118
0.2568,1.214998775
0.258466667,1.215003431
0.260133333,1.215012745
0.2618,1.215026714
0.263466667,1.215045341
0.265133333,1.215063967
0.2668,1.215082594
0.268483333,1.21510122
0.270133333,1.21511519
0.271816667,1.215124503
0.273483333,1.215133817
0.27515,1.215138473
0.276816667,1.21514313
0.278483333,1.215147786
0.28015,1.215147786
0.281816667,1.215152443
0.283483333,1.2151571
0.28515,1.215166413
0.286816667,1.215171069
0.288483333,1.215180383
0.29015,1.215194353
0.291816667,1.215203666
0.293483333,1.215217636
0.29515,1.215226949
0.296816667,1.215240919
0.2985,1.215250232
0.30015,1.215254889
0.301833333,1.215259545
0.3035,1.215259545
0.305166667,1.215259545
0.306833333,1.215254889
0.3085,1.215250232
0.310166667,1.215245575
0.311833333,1.215245575
0.3135,1.215250232
0.315166667,1.215259545
0.316833333,1.215273515
0.3185,1.215287485
0.320166667,1.215306111
0.321833333,1.215324738
0.3235,1.215343364
0.325166667,1.215357334
0.326833333,1.215366647
0.3285,1.21537596
0.330166667,1.21537596
0.33185,1.21537596
0.333516667,1.215371304
0.335183333,1.215361991
0.33685,1.215357334
0.338516667,1.215352677
0.340183333,1.215352677
0.34185,1.215352677
0.343516667,1.215361991
0.345183333,1.215371304
0.34685,1.215380617
0.348516667,1.215394587
0.350183333,1.215413213
0.35185,1.215422527
0.353516667,1.215436496
0.355183333,1.215450466
0.35685,1.215459779
0.358516667,1.215469093
0.360183333,1.215478406
0.361866667,1.215487719
0.363533333,1.215497032
0.3652,1.215501689
0.366866667,1.215511002
0.368533333,1.215520315
0.3702,1.215524972
0.371866667,1.215529629
0.373533333,1.215524972
0.3752,1.215520315
0.376866667,1.215515659
0.378533333,1.215506346
0.3802,1.215492376
0.381866667,1.215487719
0.383533333,1.215483063
0.3852,1.215483063
0.386866667,1.215487719
0.388533333,1.215497032
0.3902,1.215515659
0.391883333,1.215534285
0.39355,1.215552912
0.395216667,1.215571538
0.396883333,1.215590165
0.39855,1.215599478
0.400216667,1.215604134
0.401883333,1.215604134
0.40355,1.215599478
0.405216667,1.215594821
0.406883333,1.215590165
0.40855,1.215590165
0.410216667,1.215590165
0.411883333,1.215590165
0.41355,1.215594821
0.415216667,1.215604134
0.416883333,1.215613448
0.41855,1.215618104
0.420216667,1.215627418
0.4219,1.215636731
0.42355,1.215641387
0.425233333,1.215650701
0.4269,1.215655357
0.428566667,1.215660014
0.430233333,1.21566467
0.4319,1.21566467
0.433566667,1.21566467
0.435233333,1.21566467
0.4369,1.21566467
0.438566667,1.21566467
0.440233333,1.21566467
0.4419,1.21566467
0.443566667,1.21566467
0.445233333,1.215669327
0.4469,1.215673984
0.448566667,1.215683297
0.450233333,1.21569261
0.451916667,1.215701923
0.453566667,1.215711237
0.45525,1.215715893
0.456916667,1.21572055
0.458583333,1.215725206
0.46025,1.215725206
0.461916667,1.215725206
0.463583333,1.215725206
0.46525,1.215725206
0.466916667,1.215729863
0.468583333,1.215729863
0.47025,1.21573452
0.471916667,1.215739176
0.473583333,1.215743833
0.47525,1.215748489
0.476916667,1.215753146
0.478583333,1.215753146
0.48025,1.215757803
0.481933333,1.215762459
0.4836,1.215771773
0.485266667,1.215776429
0.486933333,1.215781086
0.4886,1.215785742
0.490266667,1.215790399
0.491933333,1.215795056
0.4936,1.215795056
0.495266667,1.215795056
0.496933333,1.215795056
0.4986,1.215799712
0.500266667,1.215799712
0.501933333,1.215804369
0.5036,1.215809025
0.505266667,1.215818339
0.506933333,1.215822995
0.5086,1.215827652
0.510266667,1.215832309
0.51195,1.215832309
0.5136,1.215832309
0.515283333,1.215832309
0.51695,1.215832309
0.518616667,1.215827652
0.520283333,1.215822995
0.52195,1.215818339
0.523616667,1.215818339
0.525283333,1.215818339
0.52695,1.215818339
0.528616667,1.215822995
0.530283333,1.215827652
0.53195,1.215832309
0.533616667,1.215841622
0.535283333,1.215846278
0.53695,1.215850935
0.538616667,1.215855592
0.540283333,1.215860248
0.541966667,1.215860248
0.543616667,1.215864905
0.5453,1.215864905
0.546966667,1.215869561
0.548633333,1.215869561
0.5503,1.215874218
0.551966667,1.215874218
0.553633333,1.215874218
0.5553,1.215874218
0.556966667,1.215874218
0.558633333,1.215874218
0.5603,1.215869561
0.561966667,1.215869561
0.563633333,1.215869561
0.5653,1.215869561
0.566966667,1.215874218
0.568633333,1.215883531
0.5703,1.215892844
0.571966667,1.215902158
0.573633333,1.215911471
0.5753,1.215920784
0.576983333,1.215925441
0.57865,1.215930097
0.580316667,1.215930097
0.581983333,1.215925441
0.58365,1.215920784
0.585316667,1.215916128
0.586983333,1.215911471
0.58865,1.215911471
0.590316667,1.215911471
0.591983333,1.215911471
0.59365,1.215911471
0.595316667,1.215916128
0.596983333,1.215920784
0.59865,1.215930097
0.600316667,1.215934754
0.601983333,1.215944067
0.60365,1.215948724
0.605333333,1.215958037
0.607,1.21596735
0.608666667,1.215972007
0.610333333,1.215976664
0.612,1.21598132
0.613666667,1.215976664
0.615333333,1.215976664
0.617,1.215972007
0.618666667,1.21596735
0.620333333,1.215962694
0.622,1.215962694
0.623666667,1.21596735
0.625333333,1.215976664
0.627,1.215985977
0.628666667,1.215999947
0.630333333,1.21600926
0.632,1.21602323
0.633666667,1.216027886
0.635333333,1.216037199
0.637016667,1.216041856
0.638683333,1.216041856
0.64035,1.216041856
0.642016667,1.216041856
0.643683333,1.216037199
0.64535,1.216037199
0.647016667,1.216032543
0.648683333,1.216032543
0.65035,1.216032543
0.652016667,1.216027886
0.653683333,1.216027886
0.65535,1.216027886
0.657016667,1.216027886
0.658683333,1.216027886
0.66035,1.216032543
0.662016667,1.216037199
0.663683333,1.216041856
0.66535,1.216051169
0.667033333,1.216060483
0.6687,1.216069796
0.670366667,1.216083766
0.672033333,1.216093079
