2026-02-24 17:16:32 UTC-6,
800 uM IC standard G5,
-3689fb28:19c913099aa:-7f55,
,
Anion General,
7796,
min,µS/cm
0,1.207841561
0.001666667,1.207864844
0.003333333,1.207888127
0.005,1.20791141
0.006666667,1.207930036
0.008333333,1.207948663
0.01,1.207962633
0.011666667,1.207976603
0.013333333,1.207985916
0.015016667,1.207995229
0.016683333,1.208004542
0.01835,1.208013855
0.020016667,1.208027825
0.021683333,1.208037139
0.02335,1.208051108
0.025016667,1.208065078
0.026683333,1.208079048
0.02835,1.208097675
0.030016667,1.208111644
0.031683333,1.208130271
0.03335,1.208144241
0.035016667,1.20815821
0.036683333,1.208167524
0.03835,1.208181494
0.040016667,1.208190807
0.041683333,1.20820012
0.043366667,1.20821409
0.045033333,1.208223403
0.0467,1.20824203
0.048366667,1.208255999
0.050033333,1.208274626
0.0517,1.208293252
0.053366667,1.208311879
0.055033333,1.208330505
0.0567,1.208344475
0.058366667,1.208363101
0.060033333,1.208377071
0.0617,1.208386385
0.063366667,1.208400354
0.065033333,1.208409668
0.0667,1.208414324
0.068366667,1.208423637
0.070033333,1.208437607
0.0717,1.20844692
0.073383333,1.208465547
0.07505,1.208479517
0.076716667,1.208498143
0.078383333,1.208521426
0.08005,1.208540053
0.081716667,1.208554023
0.083383333,1.208567992
0.08505,1.208577306
0.086716667,1.208581962
0.088383333,1.208586619
0.09005,1.208586619
0.091716667,1.208586619
0.093383333,1.208586619
0.09505,1.208586619
0.096716667,1.208595932
0.098383333,1.208605245
0.10005,1.208619215
0.101716667,1.208633185
0.103383333,1.208651811
0.105066667,1.208670438
0.106733333,1.208684408
0.1084,1.208698378
0.110066667,1.208712347
0.111733333,1.208721661
0.1134,1.208730974
0.115066667,1.208740287
0.116733333,1.208744944
0.1184,1.2087496
0.120066667,1.208754257
0.121733333,1.20876357
0.1234,1.208768227
0.125066667,1.20877754
0.126733333,1.208786853
0.1284,1.208796166
0.130066667,1.208810136
0.131733333,1.20881945
0.133416667,1.208833419
0.135083333,1.208842733
0.13675,1.208852046
0.138416667,1.208861359
0.140083333,1.208866016
0.14175,1.208875329
