2026-02-24 14:10:36 UTC-6,
KCl 100uM standard,
-3689fb28:19c913099aa:-7fe5,
,
Anion General,
7796,
min,µS/cm
0,1.233457588
0.001666667,1.233462245
0.003333333,1.233462245
0.005016667,1.233462245
0.006683333,1.233457588
0.00835,1.233448275
0.010016667,1.233443618
0.011683333,1.233438962
0.01335,1.233434305
0.015016667,1.233434305
0.016683333,1.233434305
0.01835,1.233438962
0.020016667,1.233443618
0.021683333,1.233448275
0.02335,1.233452932
0.025016667,1.233462245
0.026683333,1.233471558
0.02835,1.233476215
0.030016667,1.233480871
0.031683333,1.233485528
0.03335,1.233490185
0.035016667,1.233494841
0.0367,1.233494841
0.038366667,1.233499498
0.040033333,1.233499498
0.0417,1.233499498
0.043366667,1.233504154
0.045033333,1.233504154
0.0467,1.233508811
0.048366667,1.233513468
0.050033333,1.233522781
0.0517,1.233532094
0.053366667,1.233541407
0.055033333,1.233546064
0.0567,1.233555377
0.058366667,1.233555377
0.060033333,1.233555377
0.0617,1.23355072
0.063366667,1.233546064
0.065033333,1.233536751
0.066716667,1.233532094
0.068383333,1.233522781
0.07005,1.233522781
0.071716667,1.233522781
0.073383333,1.233527437
0.07505,1.233536751
0.076716667,1.233546064
0.078383333,1.233555377
0.08005,1.23356469
0.081716667,1.233569347
0.083383333,1.233574004
0.08505,1.233574004
0.086716667,1.233569347
0.088383333,1.233569347
0.09005,1.23356469
0.091716667,1.233560034
0.093383333,1.233555377
0.095066667,1.233555377
0.096733333,1.233555377
0.0984,1.233560034
0.100066667,1.233560034
0.101733333,1.23356469
0.1034,1.233569347
0.105066667,1.233569347
0.106733333,1.233569347
0.1084,1.233569347
0.110066667,1.23356469
0.111733333,1.233560034
0.1134,1.233555377
0.115066667,1.23355072
0.116733333,1.23355072
0.1184,1.23355072
0.120066667,1.233555377
0.121733333,1.233560034
0.1234,1.23356469
0.125083333,1.233574004
0.12675,1.233587973
0.128416667,1.233597287
0.130083333,1.233611256
0.13175,1.23362057
0.133416667,1.233629883
0.135083333,1.23363454
0.13675,1.23363454
0.138416667,1.233629883
0.140083333,1.233625226
0.14175,1.233615913
0.143416667,1.2336066
0.145083333,1.233601943
0.14675,1.233597287
0.148416667,1.233597287
0.150083333,1.233597287
0.15175,1.233597287
0.153416667,1.233601943
0.155083333,1.233601943
0.156766667,1.233601943
0.158433333,1.233601943
0.1601,1.233601943
0.161766667,1.233601943
0.163433333,1.233601943
0.1651,1.233597287
0.166766667,1.233597287
0.168433333,1.23359263
0.1701,1.233583317
0.171766667,1.23357866
0.173433333,1.23356469
0.1751,1.23355072
0.176766667,1.233536751
0.178433333,1.233527437
0.1801,1.233518124
0.181766667,1.233513468
0.183433333,1.233508811
0.1851,1.233513468
0.186783333,1.233522781
0.18845,1.233527437
0.190116667,1.233532094
0.191783333,1.233532094
0.19345,1.233527437
0.195116667,1.233518124
0.196783333,1.233499498
0.19845,1.233480871
0.200116667,1.233462245
